time,ax,ay,az,atotal
0.01838397979736328,0.01,0.06,0.03,0.06
0.019711971282958984,0.02,0.04,0.03,0.05
0.021892070770263672,0.03,0.01,0.03,0.04
0.03177905082702637,0.03,0.03,0.03,0.05
0.04190492630004883,0.01,0.05,0.04,0.06
0.051715850830078125,0.02,0.04,0.03,0.05
0.061604976654052734,0.03,0.02,0.02,0.04
0.07157611846923828,0.03,0.03,0.02,0.04
0.08163094520568848,0.04,0.04,0.03,0.06
0.09160900115966797,0.03,0.03,0.02,0.04
0.11063814163208008,0.03,0.01,0.02,0.03
0.11186695098876953,0.05,0.01,0.04,0.06
0.12125015258789062,0.02,0.06,0.03,0.06
0.1310269832611084,-0.01,0.05,0.03,0.05
0.14104604721069336,0.0,0.02,0.03,0.03
0.15160298347473145,0.04,0.01,0.03,0.05
0.1608438491821289,0.05,0.03,0.03,0.06
0.17088699340820312,0.04,0.03,0.03,0.05
0.1810169219970703,0.01,0.01,0.02,0.02
0.1910381317138672,0.01,0.02,0.03,0.03
0.21126198768615723,0.02,0.07,0.04,0.08
0.21273398399353027,0.03,0.06,0.03,0.07
0.22056007385253906,0.0,0.02,0.03,0.03
0.23043012619018555,-0.01,0.02,0.04,0.04
0.2405710220336914,0.09,0.0,0.02,0.09
0.2509310245513916,0.09,0.02,0.03,0.09
0.2603168487548828,0.0,0.03,0.04,0.05
0.2702200412750244,-0.04,0.04,0.04,0.06
0.28005003929138184,-0.02,0.05,0.04,0.06
0.2902059555053711,0.05,0.03,0.02,0.06
0.30018186569213867,0.07,0.0,0.02,0.07
0.3124828338623047,0.05,-0.01,0.03,0.05
0.31995487213134766,0.0,0.05,0.03,0.05
0.32985401153564453,-0.01,0.04,0.03,0.05
0.3399538993835449,0.02,0.04,0.04,0.06
0.3499178886413574,0.03,0.05,0.03,0.06
0.35964298248291016,0.04,0.03,0.03,0.05
0.3695049285888672,0.04,0.0,0.03,0.05
0.379486083984375,0.04,-0.01,0.03,0.05
0.39621996879577637,0.04,0.05,0.03,0.07
0.3994319438934326,0.02,0.07,0.04,0.08
0.4093899726867676,0.0,0.03,0.04,0.05
0.4191570281982422,0.0,0.01,0.04,0.04
0.42928194999694824,0.04,0.02,0.03,0.05
0.4391040802001953,0.06,0.02,0.03,0.06
0.44929003715515137,0.04,0.02,0.03,0.05
0.4590630531311035,0.0,0.03,0.03,0.04
0.4690890312194824,-0.03,0.06,0.03,0.07
0.47896385192871094,0.0,0.05,0.04,0.06
0.4960660934448242,0.06,0.01,0.03,0.06
0.4986729621887207,0.06,0.0,0.03,0.06
0.5086610317230225,0.06,0.02,0.03,0.06
0.5183510780334473,0.04,0.02,0.03,0.05
0.5284838676452637,0.02,0.02,0.03,0.04
0.5386590957641602,0.02,0.04,0.04,0.06
0.5489280223846436,0.03,0.06,0.03,0.07
0.5584888458251953,0.03,0.03,0.01,0.04
0.5684390068054199,0.06,0.03,0.02,0.06
0.5783090591430664,0.07,0.06,0.06,0.11
0.5954790115356445,-0.05,0.03,0.03,0.06
0.5979189872741699,0.06,0.26,0.03,0.26
0.6081850528717041,0.07,0.77,0.04,0.77
0.618372917175293,-0.09,0.85,0.02,0.85
0.6279079914093018,-0.17,0.7,0.03,0.72
0.6377749443054199,-0.15,0.44,0.02,0.46
0.6477341651916504,0.01,0.15,0.02,0.15
0.6576240062713623,0.25,-0.06,0.03,0.25
0.6677141189575195,0.51,-0.11,0.04,0.52
0.6775798797607422,0.7,0.01,0.03,0.7
0.6957478523254395,0.68,0.16,0.03,0.69
0.6979899406433105,0.68,0.17,0.04,0.7
0.7074518203735352,0.53,0.13,0.02,0.54
0.7171878814697266,0.31,0.09,0.03,0.32
0.7273149490356445,0.13,0.04,0.03,0.13
0.7371978759765625,0.22,0.0,0.03,0.22
0.7474000453948975,0.4,-0.12,0.04,0.41
0.7570090293884277,0.53,-0.27,0.02,0.59
0.7670989036560059,0.6,-0.33,0.02,0.68
0.776893138885498,0.57,-0.34,0.02,0.66
0.7964479923248291,0.6,-0.22,0.06,0.64
0.7987780570983887,0.5,-0.08,0.03,0.5
0.8068418502807617,0.38,0.06,0.03,0.38
0.8165459632873535,0.4,0.13,0.03,0.42
0.8269309997558594,0.53,0.08,0.01,0.53
0.8366050720214844,0.65,-0.06,0.05,0.65
0.847012996673584,0.62,-0.21,-0.02,0.65
0.856475830078125,0.74,-0.27,0.09,0.79
0.8665108680725098,0.95,-0.31,-0.02,0.99
0.8763840198516846,0.79,-0.37,0.03,0.87
0.8968689441680908,0.53,-0.41,0.04,0.67
0.8991870880126953,0.39,-0.35,0.02,0.52
0.9061369895935059,0.26,-0.25,0.08,0.36
0.915949821472168,0.26,-0.12,-0.04,0.28
0.9259929656982422,0.72,-0.24,-0.09,0.76
0.9360561370849609,0.62,-0.26,0.17,0.69
0.9462740421295166,0.71,-0.36,0.05,0.79
0.9557881355285645,0.82,-0.38,0.11,0.91
0.9659380912780762,0.86,-0.24,0.15,0.9
0.9758119583129883,0.39,-0.08,-0.21,0.45
0.9967589378356934,0.23,0.0,-0.1,0.25
0.9991440773010254,-0.23,0.03,0.24,0.33
1.005450963973999,0.13,-0.04,-0.03,0.13
1.0152809619903564,-0.07,-0.11,0.04,0.13
1.025404930114746,0.06,-0.15,0.05,0.16
1.035181999206543,0.62,-0.29,0.04,0.68
1.0451509952545166,0.65,-0.34,0.06,0.73
1.0550670623779297,0.61,-0.29,0.03,0.67
1.0651521682739258,0.38,-0.15,0.09,0.41
1.0751140117645264,0.45,-0.2,0.1,0.5
1.0850319862365723,-0.03,-0.32,0.19,0.37
1.0989251136779785,-0.06,-0.23,-0.25,0.34
1.1047940254211426,0.49,-0.44,-0.1,0.66
1.1146430969238281,-0.25,-0.46,0.14,0.54
1.1246440410614014,-0.36,-0.4,0.04,0.53
1.1346631050109863,0.09,-0.31,0.01,0.32
1.1448040008544922,-0.26,-0.07,-0.11,0.29
1.1544339656829834,-0.19,0.04,0.19,0.27
1.1645779609680176,0.16,-0.11,0.05,0.2
1.174448013305664,0.54,-0.44,0.01,0.69
1.184380054473877,0.05,-0.5,0.07,0.5
1.1980409622192383,0.03,-0.55,0.03,0.55
1.2041630744934082,-0.22,-0.46,0.02,0.51
1.2140631675720215,-0.53,-0.25,0.03,0.58
1.2241158485412598,-0.43,-0.07,0.05,0.43
1.234053134918213,-0.62,0.21,-0.01,0.65
1.2439289093017578,-0.39,0.08,0.0,0.39
1.253587007522583,-0.15,-0.34,0.1,0.38
1.2637970447540283,-0.11,-0.35,0.05,0.37
1.2735960483551025,-0.07,-0.5,0.02,0.5
1.2837600708007812,0.36,-0.56,0.04,0.66
1.29764986038208,0.26,-0.65,-0.02,0.7
1.303877830505371,-0.44,-0.37,0.0,0.57
1.3134088516235352,-0.07,-0.29,-0.07,0.3
1.3233850002288818,-0.13,-0.19,0.18,0.29
1.333225965499878,-0.62,-0.06,0.08,0.62
1.343170166015625,-0.92,-0.12,0.01,0.92
1.3534140586853027,-0.79,-0.3,0.06,0.84
1.3631658554077148,-0.92,-0.35,0.0,0.98
1.3730239868164062,-0.74,-0.34,0.02,0.81
1.3829569816589355,-0.23,-0.32,0.04,0.39
1.4001131057739258,-0.52,0.04,0.08,0.52
1.4028899669647217,-0.51,0.28,0.0,0.58
1.412703037261963,-0.23,0.16,-0.01,0.28
1.4226939678192139,0.08,-0.05,0.09,0.13
1.4327049255371094,0.13,-0.12,0.03,0.17
1.4426651000976562,-0.07,-0.12,-0.03,0.14
1.452463150024414,-0.39,0.01,0.04,0.39
1.4626569747924805,-0.71,0.06,-0.06,0.71
1.4726390838623047,-0.28,-0.07,0.07,0.29
1.482494831085205,-0.5,0.12,0.05,0.51
1.500391960144043,-0.81,0.26,0.02,0.85
1.5022170543670654,-0.7,0.08,0.03,0.7
1.5121309757232666,-0.67,0.03,0.04,0.67
1.521946907043457,-0.7,0.03,0.03,0.7
1.5317301750183105,-0.7,-0.06,0.03,0.7
1.5420351028442383,-0.66,-0.09,0.03,0.66
1.5518388748168945,-0.57,-0.12,0.0,0.58
1.5618679523468018,-0.52,-0.11,0.03,0.53
1.5717790126800537,-0.57,-0.09,0.07,0.58
1.5818369388580322,-0.51,-0.31,0.05,0.59
1.599912166595459,-0.37,-0.37,0.02,0.52
1.6016640663146973,-0.23,-0.21,-0.01,0.31
1.6113879680633545,-0.41,0.18,0.02,0.44
1.6212100982666016,-0.29,0.1,0.0,0.3
1.6311841011047363,-0.12,0.0,0.02,0.12
1.6412959098815918,0.05,0.07,0.03,0.09
1.650974988937378,0.22,0.12,0.05,0.25
1.6610469818115234,0.36,0.15,0.02,0.39
1.6712398529052734,0.32,0.08,0.06,0.33
1.6809639930725098,0.07,0.0,0.06,0.09
1.6996259689331055,-0.11,-0.01,-0.01,0.11
1.701004981994629,-0.23,0.03,-0.03,0.23
1.7107391357421875,-0.34,0.04,0.09,0.35
1.7211971282958984,-0.41,0.15,0.04,0.43
1.7305829524993896,-0.34,0.25,0.02,0.42
1.740562915802002,-0.28,0.13,0.03,0.31
1.7504010200500488,-0.18,0.05,0.02,0.18
1.760481834411621,-0.11,-0.06,0.03,0.12
1.7702569961547852,-0.15,-0.14,0.03,0.2
